player gender group valence block score d_prime mean_rt med_rt mot
P1001 M A V0 B0 11 -0.210428 0.898956 0.850586 0.564101
P1001 M A V0 B1 19 1.641911 0.894633 0.841309 0.925605
P1001 M A V1 B0 14 0.536694 0.923330 0.909424 0.659439
P1001 M A V1 B1 11 -0.243762 0.918864 0.857422 0.588480
P1002 F A V0 B0 18 1.348980 0.739624 0.665833 1.115350
P1002 F A V0 B1 15 0.641156 0.559341 0.533936 1.164168
P1002 F A V1 B0 18 1.398149 0.653933 0.615570 1.201153
P1002 F A V1 B1 15 0.641156 0.604014 0.590698 1.070422
P1003 F B V0 B0 21 2.350416 0.602058 0.585876 1.484249
P1003 F B V0 B1 22 2.765988 0.586461 0.572266 1.628702
P1003 F B V1 B0 19 1.641911 0.646057 0.607086 1.283335
P1003 F B V1 B1 19 1.813721 0.604930 0.545288 1.389832
P1004 F A V0 B0 19 1.813721 0.917445 0.880127 0.982566
P1004 F A V0 B1 20 2.057484 0.741180 0.712158 1.212593
P1004 F A V1 B0 21 2.350416 0.868197 0.786163 1.085827
P1004 F A V1 B1 18 1.398149 0.882955 0.812256 0.955508
P1005 F B V0 B0 20 2.057484 1.122595 0.990936 0.823398
P1005 F B V0 B1 20 2.057484 0.934845 0.833069 0.956904
P1005 F B V1 B0 16 0.884918 1.147789 1.066620 0.689342
P1005 F B V1 B1 17 1.382994 1.042948 0.879273 0.803504
P1006 F B V0 B0 24 3.463329 0.817009 0.806732 1.334369
P1006 F B V0 B1 23 3.114659 0.813187 0.759583 1.297808
P1006 F B V1 B0 20 2.162392 1.124839 1.051819 0.912353
P1006 F B V1 B1 19 1.942093 0.908549 0.792664 1.033684
P1007 F B V0 B0 20 2.057484 1.349266 1.048218 0.770810
P1007 F B V0 B1 18 1.398149 1.463582 1.498962 0.554142
P1007 F B V1 B0 18 1.398149 1.434827 1.276215 0.589327
P1007 F B V1 B1 20 2.162392 1.058619 1.037598 0.858558
P1008 M B V0 B0 19 1.641911 0.810069 0.766571 1.082030
P1008 M B V0 B1 20 2.057484 0.799881 0.747009 1.172184
P1008 M B V1 B0 19 1.641911 0.869136 0.851746 1.033080
P1008 M B V1 B1 19 1.641911 0.747681 0.706055 1.108904
P1009 M A V0 B0 18 1.593423 0.607925 0.593628 1.301819
P1009 M A V0 B1 19 1.641911 0.670893 0.692444 1.266411
P1009 M A V1 B0 19 1.641911 0.636922 0.619202 1.289300
P1009 M A V1 B1 17 1.177850 0.671438 0.659302 1.116326
P1010 M A V0 B0 20 1.934843 1.180163 1.145752 0.758398
P1010 M A V0 B1 22 2.699086 1.685994 1.298339 0.682021
P1010 M A V1 B0 20 2.162392 1.472010 1.306854 0.619267
P1010 M A V1 B1 20 1.934843 1.584600 1.429199 0.668978
P1011 M B V0 B0 21 2.350416 0.791654 0.765991 1.151010
P1011 M B V0 B1 21 2.406154 0.799057 0.666138 1.232652
P1011 M B V1 B0 20 2.057484 0.872605 0.798859 1.418469
P1011 M B V1 B1 19 1.813721 0.698069 0.685913 1.201562
P1012 F A V0 B0 21 2.350416 0.753759 0.685547 1.311379
P1012 F A V0 B1 16 1.172566 0.822083 0.705444 0.956871
P1012 F A V1 B0 17 1.105217 0.772288 0.719299 1.031701
P1012 F A V1 B1 20 1.934843 0.870326 0.686646 1.134923
P1013 F A V0 B0 21 2.350416 1.185064 1.115479 0.774355
P1013 F A V0 B1 23 3.114659 1.110819 1.048462 0.893571
P1013 F A V1 B0 22 2.699086 1.200506 1.050842 0.831308
P1013 F A V1 B1 24 3.463329 1.189423 1.140137 0.903822
P1014 F B V0 B0 20 2.057484 0.708079 0.672028 1.277792
P1014 F B V0 B1 21 2.350416 0.612401 0.584656 1.484801
P1014 F B V1 B0 16 1.172566 0.627101 0.613617 1.118773
P1014 F B V1 B1 18 1.348980 0.653341 0.651306 1.144832
P1015 M B V0 B0 15 0.674490 0.953471 0.932312 0.683566
P1015 M B V0 B1 16 0.861455 1.028982 0.979492 0.695368
