participant,condition,block,bad,good
1015,WM,1,F6,EXG6
1015,PV,1,F6,EXG6
1018,PV,0,F6,EXG8
1018,WM,0,F6,EXG8
1018,PV,1,F6,EXG8
1018,WM,1,F6,EXG8
1021,WM,1,F6,EXG8
1021,PV,1,F6,EXG8
1022,PV,0,F6,EXG8
1022,WM,0,F6,EXG8
1022,PV,1,F6,EXG8
1022,WM,1,F6,EXG8
1025,PV,0,F6,EXG8
1025,WM,0,F6,EXG8
1025,PV,1,F6,EXG8
1025,WM,1,F6,EXG8
1026,PV,0,F6,EXG8
1026,WM,0,F6,EXG8
1026,PV,1,F6,EXG8
1026,WM,1,F6,EXG8
1027,PV,0,F6,EXG8
1027,WM,0,F6,EXG8
1027,PV,1,F6,EXG8
1027,WM,1,F6,EXG8
1028,PV,0,F6,EXG8
1028,WM,0,F6,EXG8
1028,PV,1,F6,EXG8
1028,WM,1,F6,EXG8
1029,PV,0,F6,EXG8
1029,WM,0,F6,EXG8
1029,PV,1,F6,EXG8
1029,WM,1,F6,EXG8
1030,PV,0,F6,EXG8
1030,WM,0,F6,EXG8
1030,PV,1,F6,EXG8
1030,WM,1,F6,EXG8
1031,PV,0,F6,EXG8
1031,WM,0,F6,EXG8
1031,PV,1,F6,EXG8
1031,WM,1,F6,EXG8
1032,PV,0,F6,EXG8
1032,WM,0,F6,EXG8
1032,PV,1,F6,EXG8
1032,WM,1,F6,EXG8
1033,PV,0,F6,EXG8
1033,WM,0,F6,EXG8
1033,PV,1,F6,EXG8
1033,WM,1,F6,EXG8
1034,PV,0,F6,EXG8
1034,WM,0,F6,EXG8
1034,PV,1,F6,EXG8
1034,WM,1,F6,EXG8
1035,PV,0,F6,EXG8
1035,WM,0,F6,EXG8
1035,PV,1,F6,EXG8
1035,WM,1,F6,EXG8
1036,PV,0,F6,EXG8
1036,WM,0,F6,EXG8
1036,PV,1,F6,EXG8
1036,WM,1,F6,EXG8
1037,PV,0,F6,EXG8
1037,WM,0,F6,EXG8
1037,PV,1,F6,EXG8
1037,WM,1,F6,EXG8
1038,PV,0,F6,EXG8
1038,WM,0,F6,EXG8
1038,PV,1,F6,EXG8
1038,WM,1,F6,EXG8
